lsoa_code,borough,major_category,minor_category,value,year,month
E01001695,Greenwich,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2014,4
E01003416,Merton,Drugs,Drug Trafficking,0,2012,6
E01003701,Redbridge,Violence Against the Person,Common Assault,1,2011,12
E01002799,Islington,Criminal Damage,Other Criminal Damage,0,2011,5
E01002863,Kensington and Chelsea,Theft and Handling,Theft From Motor Vehicle,2,2008,5
E01000764,Bromley,Criminal Damage,Criminal Damage To Motor Vehicle,0,2012,5
E01003181,Lambeth,Theft and Handling,Other Theft Person,0,2016,9
E01000808,Bromley,Criminal Damage,Other Criminal Damage,0,2011,9
E01002232,Harrow,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,11
E01003545,Newham,Theft and Handling,Theft From Shops,0,2013,6
E01003973,Southwark,Robbery,Business Property,0,2016,4
E01002562,Hounslow,Criminal Damage,Criminal Damage To Motor Vehicle,0,2012,8
E01002090,Haringey,Violence Against the Person,Assault with Injury,1,2015,12
E01002423,Hillingdon,Criminal Damage,Criminal Damage To Motor Vehicle,0,2009,12
E01002166,Harrow,Theft and Handling,Handling Stolen Goods,0,2009,8
E01004293,Tower Hamlets,Sexual Offences,Rape,0,2013,7
E01003485,Newham,Violence Against the Person,Offensive Weapon,0,2012,11
E01003535,Newham,Drugs,Possession Of Drugs,4,2016,9
E01003662,Redbridge,Violence Against the Person,Offensive Weapon,0,2008,7
E01003396,Merton,Theft and Handling,Theft From Motor Vehicle,1,2011,11
E01004016,Southwark,Violence Against the Person,Other violence,1,2010,4
E01000358,Bexley,Criminal Damage,Criminal Damage To Dwelling,0,2016,7
E01003849,Richmond upon Thames,Violence Against the Person,Wounding/GBH,0,2008,7
E01003538,Newham,Burglary,Burglary in Other Buildings,0,2013,8
E01000566,Brent,Drugs,Possession Of Drugs,0,2015,4
E01004524,Wandsworth,Burglary,Burglary in Other Buildings,0,2013,4
E01000718,Bromley,Burglary,Burglary in Other Buildings,0,2015,11
E01000097,Barking and Dagenham,Theft and Handling,Other Theft,0,2009,3
E01002313,Havering,Drugs,Drug Trafficking,0,2011,6
E01003272,Lewisham,Fraud or Forgery,Counted per Victim,0,2008,9
E01003676,Redbridge,Robbery,Personal Property,0,2016,5
E01003943,Southwark,Violence Against the Person,Harassment,1,2013,2
E01000076,Barking and Dagenham,Burglary,Burglary in Other Buildings,1,2013,2
E01004503,Wandsworth,Burglary,Burglary in a Dwelling,0,2013,4
E01000608,Brent,Drugs,Other Drugs,0,2008,7
E01002964,Kingston upon Thames,Robbery,Personal Property,2,2009,6
E01001675,Greenwich,Theft and Handling,Handling Stolen Goods,0,2010,1
E01002840,Kensington and Chelsea,Robbery,Personal Property,0,2012,3
E01004012,Southwark,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2010,4
